Escuela_ID;Curso;División;Matrícula
1054;5°;1;22
1054;5°;2;31
1054;5°;3;29
1054;5°;4;16
1055;1°;1°;19
1055;1°;2;20
1055;1°;3;21
1055;1°;4;20
1055;1°;5;18
1055;2°;1;20
1055;2°;2;16
1055;2°;3;20
1055;2°;4;18
1055;2°;5;20
1055;3°;1;27
1055;3°;2;19
1055;3°;3;22
1055;3°;4;23
1055;3°;5;14
1055;4°;1;29
1055;4°;2;19
1055;4°;3;26
1055;4°;4°;18
1055;5°;1;25
1055;5°;2;20
1055;5°;3;28
1065;1°;1º;21
1065;1°;2ª;19
1065;1°;3º;24
1065;1°;4º;19
1065;1°;5º;24
1065;1°;6º;17
1065;1°;7º;24
1065;2°;1º ;21
1065;2°;2º;21
1065;2°;3º;21
1065;2°;4º;19
1065;2°;5°;21
1065;3°;1º;16
1065;3°;2ª;24
1065;3°;3º;19
1065;3°;4;26
1065;4°;1º;24
1065;4°;2º;26
1065;4°;3;22
1065;4°;4;15
1065;5°;1º;28
1065;5°;2º;29
1065;5°;3;23
1065;6°;1º;36
1065;6°;2;35
1066;1°;1°;25
1066;1°;2°;25
1066;1°;3°;26
1066;1°;4°;25
1066;2°;1°;25
1066;2°;2°;24
1066;2°;3°;20
1066;2°;4°;22
1066;3°;1°;18
1066;3°;2;17
1066;3°;3°;18
1066;3°;4;20
1066;4°;1°;34
1066;4°;2º;34
1066;5°;1°;27
1066;5°;4°;27
1069;1°;1;31
1069;1°;2;26
1069;1°;3;27
1069;1°;4;29
1069;1°;5;27
1069;1°;6;28
1069;2°;1;34
1069;2°;2;33
1069;2°;3;32
1069;2°;4;20
1069;3°;1;29
1069;3°;2;22
1069;3°;3;31
1069;3°;4;34
1069;4°;1;31
1069;4°;2;21
1069;4°;3;27
1069;4°;4;29
1069;5°;1;29
1069;5°;2;13
1069;5°;3;30
1069;6°;Unica;5
1070;1°;3ra;26
1070;1°;4to;26
1070;1°;5ta;25
1070;1°;6ta;31
1070;2°;1ra;31
1070;2°;2da;35
1070;2°;4to;29
1070;3°;1ra;36
1070;3°;2da;38
1070;3°;3ra;37
1070;4°;1ra;34
1070;4°;2da;26
1070;4°;3ra;31
1070;5°;1ra;20
1070;5°;2da;26
1070;5°;3ra;32
1073;1°;1ra ;30
1073;1°;2da;30
1073;1°;3ra;29
1073;1°;4ta ;19
1073;1°;5ta ;27
1073;1°;6ta ;29
1073;1°;7ma;30
1073;2°;1ra;28
1073;2°;2da;22
1073;2°;3ra ;20
1073;2°;4ta ;18
1073;2°;5ta ;29
1073;2°;6ta ;31
1073;2°;7ma;23
1073;3°;1ra ;25
1073;3°;2da;33
1073;3°;3ra ;33
1073;3°;4ta;35
1073;3°;5ta;35
1073;3°;6ta;27
1073;4°;1ra;32
1073;4°;2da;31
1073;4°;3ra;23
1073;4°;4ta;19
1073;4°;5ta;21
1073;5°;1ra;33
1073;5°;2da;36
1073;5°;3ra;22
1073;5°;4ta;32
1074;1°;1 °;31
1074;1°;2ª;31
1074;2°;1 °;28
1074;2°;2ª;31
1074;3°;1 °;26
1074;3°;2ª;28
1074;4°;1 °;24
1074;4°;2ª;24
1074;5°;1 °;22
1074;5°;2ª;19
1080;1°;1º;26
1080;1°;2º;27
1080;1°;3º;24
1080;1°;4º;30
1080;1°;5º;29
1080;1°;6°;28
1080;2°;1º;23
1080;2°;2º;26
1080;2°;3º;27
1080;2°;4º;24
1080;2°;5º;23
1080;2°;6;20
1080;3°;1º;29
1080;3°;2º;27
1080;3°;3º;28
1080;3°;4º;29
1080;4°;1º;30
1080;4°;2º;31
1080;4°;3º;27
1080;4°;4º;22
1080;5°;1º;21
1080;5°;2;26
1080;5°;3º;22
1080;5°;4º;23
1092;1°;1º;24
1092;1°;2º ;26
1092;1°;3º;31
1092;1°;4 º ;27
1092;1°;5º ;28
1092;1°;6 º ;26
1092;1°;7 º;28
1092;2°;1º ;35
1092;2°;2º;30
1092;2°;3º ;30
1092;2°;4º;32
1092;2°;5º ;34
1092;2°;6;34
1092;3°;1º;39
1092;3°;2º;39
1092;3°;3º;32
1092;3°;4º;29
1092;3°;5º;41
1092;3°;6;33
1092;4°;1º;32
1092;4°;2º;29
1092;4°;3º;20
1092;4°;4º;25
1092;4°;5;21
1092;5°;1°;42
1092;5°;2°;16
1092;5°;3º;44
1092;5°;4;17
1092;6°;1°;31
1092;6°;2°;36
1092;6°;3º;35
1095;1°;1;27
1095;1°;2;27
1095;1°;3;28
1095;1°;4;30
1095;1°;5;26
1095;1°;6;28
1095;2°;1;34
1095;2°;2;33
1095;2°;3;32
1095;2°;4;38
1095;2°;5;33
1095;3°;1;31
1095;3°;2;31
1095;3°;3;36
1095;3°;4;34
